Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
47," XY Cet",p,44.889708333333324,3.5175749999999995,"A5V",1.773,0.016,1.876,0.035,4.141,0.017,7870,115,"*  "," XY Cet"
48," XY Cet",s,44.889708333333324,3.5175749999999995,"A7V",1.615,0.014,1.776,0.029,4.148,0.015,7620,125,"*  "," XY Cet"
95," V818 Tau",p,64.41224999999999,16.947858333333333,"G6V",1.047,0.165,0.898,0.189,4.552,0.195,5470,,"1  "," V818 Tau"
96," V818 Tau",s,64.41224999999999,16.947858333333333,"K6V",0.758,0.108,0.767,0.099,4.548,0.128,3977,22,"***"," V818 Tau"
89," V1094 Tau",p,63.014958333333325,21.947374999999997,"G0",1.0965,0.004,1.4109,0.0058,4.179,0.004,5850,100,"*  "," V1094 Tau"
90," V1094 Tau",s,63.014958333333325,21.947374999999997,"G0",1.0121,0.0028,1.1063,0.0066,4.356,0.005,5700,100,"*  "," V1094 Tau"
83," CF Tau",p,61.29220833333333,22.496713888888888,"G0",1.282,0.009,2.797,0.011,3.653,0.005,5200,150,"2  "," CF Tau"
84," CF Tau",s,61.29220833333333,22.496713888888888,"G0",1.252,0.011,2.048,0.016,3.913,0.008,6000,150,"2  "," CF Tau"
73," V612 Tau",p,55.61374999999999,22.573577777777775,"M3",0.3019,0.007,0.341,0.016,4.853,0.042,3230,100,"** "," V612 Tau"
74," V612 Tau",s,55.61374999999999,22.573577777777775,"M3",0.2767,0.0068,0.319,0.013,4.873,0.037,3090,100,"** "," V612 Tau"
75," EPIC 211075914",p,56.730458333333324,24.188027777777773,"M4.5",0.41,0.18,0.46,0.11,4.726,0.282,2970,,"1  "," EPIC 211075914"
76," EPIC 211075914",s,56.730458333333324,24.188027777777773,"M4.5",0.172,0.069,0.321,0.06,4.661,0.238,3000,,"1  "," EPIC 211075914"
77," V1229 Tau",p,56.87270833333333,24.28834444444444,"A0V",2.203,0.013,1.727,0.027,4.307,0.014,9950,,"*  "," V1229 Tau"
78," V1229 Tau",s,56.87270833333333,24.28834444444444,"Am",1.5488,0.0093,1.503,0.045,4.274,0.026,7281,9,"*  "," V1229 Tau"
45," AG Ari",p,36.612333333333325,12.898836111111109,"A0V",2.164,0.07,2.232,0.023,4.076,0.017,10300,250,"** "," AG Ari"
46," AG Ari",s,36.612333333333325,12.898836111111109,"A0V",2.148,0.07,2.074,0.022,4.137,0.017,9800,230,"** "," AG Ari"
35," NSVS 06507557",p,29.599458333333327,25.35545833333333,"K9",0.656,0.086,0.603,0.03,4.695,0.071,3960,80,"***"," NSVS 06507557"
36," NSVS 06507557",s,29.599458333333327,25.35545833333333,"M3",0.279,0.045,0.445,0.024,4.587,0.084,3365,80,"1  "," NSVS 06507557"
49," V881 Per",p,44.97133333333333,38.030072222222216,"K0IV",0.912,0.039,0.975,0.02,4.42,0.026,5200,,"** "," V881 Per"
50," V881 Per",s,44.97133333333333,38.030072222222216,"K0IV",0.748,0.035,0.708,0.018,4.612,0.03,4330,25,"** "," V881 Per"
91," NP Per",p,63.740666666666655,31.44556666666666,"F5V",1.3207,0.0087,1.372,0.013,4.284,0.009,6420,90,"*  "," NP Per"
92," NP Per",s,63.740666666666655,31.44556666666666,"K5eV",1.0456,0.0046,1.229,0.013,4.279,0.009,4540,160,"*  "," NP Per"
85," AG Per",p,61.73262499999999,33.44636944444444,"B4V",4.498,0.134,3.009,0.07,4.135,0.024,18200,800,"*  "," AG Per"
86," AG Per",s,61.73262499999999,33.44636944444444,"B4V",4.098,0.109,2.616,0.07,4.216,0.026,17400,800,"*  "," AG Per"
111," AR Aur",p,79.57874999999999,33.76734722222222,"B9V",2.5435,0.0051,1.8237,0.0099,4.322,0.005,10950,300,"*  "," AR Aur"
112," AR Aur",s,79.57874999999999,33.76734722222222,"B9.6V",2.3567,0.0047,1.8108,0.0083,4.295,0.004,10350,300,"*  "," AR Aur"
105," HP Aur",p,77.59074999999999,35.79628611111111,"G2V",0.9543,0.0041,1.0278,0.0042,4.394,0.004,5810,120,"*  "," HP Aur"
106," HP Aur",s,77.59074999999999,35.79628611111111,"K1V",0.8094,0.0036,0.7758,0.0034,4.567,0.004,5160,120,"*  "," HP Aur"
125," V432 Aur",p,84.38545833333332,37.08673888888888,"F7V",1.08,0.016,2.464,0.02,3.688,0.01,6080,85,"2  "," V432 Aur"
126," V432 Aur",s,84.38545833333332,37.08673888888888,"F8V",1.224,0.016,1.232,0.006,4.345,0.007,6685,8,"*  "," V432 Aur"
133," beta Aur",p,89.88216666666665,44.94743333333333,"A1Vm",2.369,0.027,2.762,0.017,3.93,0.007,9350,200,"*  "," beta Aur"
134," beta Aur",s,89.88216666666665,44.94743333333333,"A1Vm",2.295,0.027,2.568,0.017,3.98,0.008,9200,200,"*  "," beta Aur"
93," V482 Per",p,63.922166666666655,47.422197222222216,"F2",1.51,0.05,2.39,0.04,3.861,0.02,6700,,"** "," V482 Per"
94," V482 Per",s,63.922166666666655,47.422197222222216,"F45",1.29,0.05,1.45,0.04,4.226,0.029,6340,18,"** "," V482 Per"
81," IQ Per",p,59.93616666666666,48.15124999999999,"B7.5V",3.513,0.04,2.465,0.03,4.2,0.012,12300,200,"*  "," IQ Per"
82," IQ Per",s,59.93616666666666,48.15124999999999,"A6V",1.733,0.02,1.509,0.02,4.32,0.013,7670,100,"*  "," IQ Per"
3," V342 And B",p,2.515333333333333,46.390499999999996," ",1.27,0.01,1.21,0.01,4.377,0.008,6395,,"*  "," HD 556B"
4," V342 And B",s,2.515333333333333,46.390499999999996," ",1.28,0.01,1.25,0.01,4.352,0.008,6200,30,"*  "," HD 556B"
25," CO And",p,17.853458333333332,46.96370555555555,"F8V",1.289,0.007,1.727,0.021,4.074,0.011,6140,130,"*  "," CO And"
26," CO And",s,17.853458333333332,46.96370555555555,"F8V",1.264,0.007,1.694,0.017,4.082,0.009,6170,130,"*  "," CO And"
17," V364 Cas",p,13.179208333333332,50.46948888888888,"A7V",1.684,0.107,1.97,0.01,4.076,0.028,7816,86,"***"," V364 Cas"
18," V364 Cas",s,13.179208333333332,50.46948888888888,"A7V",1.559,0.101,2.329,0.01,3.897,0.028,7780,86,"***"," V364 Cas"
7," MU Cas",p,3.964833333333333,60.43156666666666,"B5V",4.657,0.1,4.192,0.05,3.862,0.014,14750,500,"*  "," MU Cas"
8," MU Cas",s,3.964833333333333,60.43156666666666,"B5V",4.575,0.09,3.671,0.04,3.969,0.013,15100,500,"*  "," MU Cas"
9," GSC 4019 3345",p,5.689041666666666,62.3348611111111,"A4V",1.92,0.01,1.76,0.05,4.231,0.025,8600,310,"*  "," TYC 4019-3345-1"
10," GSC 4019 3345",s,5.689041666666666,62.3348611111111,"A4V",1.92,0.01,1.76,0.05,4.231,0.025,8600,570,"*  "," TYC 4019-3345-1"
57," V570 Per",p,47.39558333333333,48.62463888888888,"F3V",1.425,0.006,1.494,0.11,4.243,0.064,6842,25,"***"," V570 Per"
58," V570 Per",s,47.39558333333333,48.62463888888888,"F5V",1.328,0.006,1.354,0.11,4.298,0.071,6580,70,"***"," V570 Per"
59," IM Per",p,47.92629166666666,52.211722222222214,"A7",1.7831,0.0094,2.409,0.018,3.926,0.007,7580,150,"*  "," IM Per"
60," IM Per",s,47.92629166666666,52.211722222222214,"A7",1.7741,0.0097,2.366,0.017,3.939,0.007,7570,160,"*  "," IM Per"
41," V505 Per",p,35.303999999999995,54.510077777777774,"F5V",1.272,0.001,1.288,0.014,4.323,0.009,6512,21,"*  "," V505 Per"
42," V505 Per",s,35.303999999999995,54.510077777777774,"F5V",1.254,0.001,1.267,0.014,4.331,0.01,6462,12,"*  "," V505 Per"
39," V618 Per",p,34.79908333333333,57.111416666666656,"A2V",2.332,0.031,1.636,0.069,4.379,0.037,11000,1000,"** "," V618 Per"
40," V618 Per",s,34.79908333333333,57.111416666666656," ",1.558,0.025,1.318,0.069,4.391,0.046,8000,1000,"** "," V618 Per"
37," V615 Per",p,34.756541666666664,57.12202777777777,"B7V",4.075,0.055,2.292,0.141,4.328,0.054,15000,500,"***"," V615 Per"
38," V615 Per",s,34.756541666666664,57.12202777777777,"B7V",3.178,0.051,1.904,0.094,4.381,0.043,11000,500,"** "," V615 Per"
53," V799 Cas",p,46.364749999999994,61.65491388888888,"B8V",3.081,0.4,3.231,0.14,3.908,0.068,11550,14,"***"," V799 Cas"
54," V799 Cas",s,46.364749999999994,61.65491388888888,"B8.5V",2.97,0.4,3.201,0.14,3.901,0.07,11210,14,"***"," V799 Cas"
97," WW Cam",p,67.85533333333332,64.36263888888888,"A4Vm",1.92,0.013,1.913,0.016,4.158,0.008,8360,140,"*  "," WW Cam"
98," WW Cam",s,67.85533333333332,64.36263888888888,"A4Vm",1.873,0.018,1.81,0.014,4.196,0.008,8240,140,"*  "," WW Cam"
87," SZ Cam",p,61.95537499999999,62.33293888888888,"O9IV",16.59,0.62,9.36,0.07,3.716,0.017,30408,240,"** "," SZ Cam"
88," SZ Cam",s,61.95537499999999,62.33293888888888,"B0.5V",11.95,0.71,6.0,0.09,3.959,0.029,27319,300,"** "," SZ Cam"
117," AS Cam",p,82.44545833333332,69.49593333333333,"B8V",3.312,0.1,2.617,0.04,4.123,0.019,12000,600,"** "," AS Cam"
118," AS Cam",s,82.44545833333332,69.49593333333333,"B9.5V",2.508,0.1,1.993,0.04,4.239,0.025,10700,520,"** "," AS Cam"
69," GJ 3236",p,54.30866666666666,69.18049722222221,"M4V",0.375,0.016,0.383,0.006,4.846,0.023,3310,110,"** "," GJ 3236"
70," GJ 3236",s,54.30866666666666,69.18049722222221,"M4V",0.28,0.015,0.283,0.004,4.982,0.026,3241,108,"** "," GJ 3236"
43," DN Cas",p,35.79804166666666,60.830594444444436,"B0V",19.04,0.07,7.22,0.06,4.001,0.007,32100,1000,"*  "," DN Cas"
44," DN Cas",s,35.79804166666666,60.830594444444436,"B1V",13.73,0.05,5.79,0.06,4.051,0.009,28020,1100,"*  "," DN Cas"
27," V459 Cas",p,17.874666666666663,61.14665555555555,"A1V",2.015,0.03,2.01,0.013,4.136,0.009,9140,300,"*  "," V459 Cas"
28," V459 Cas",s,17.874666666666663,61.14665555555555,"A1V",1.962,0.03,1.966,0.013,4.144,0.009,9100,300,"*  "," V459 Cas"
13," YZ Cas",p,11.412833333333332,74.98807222222221,"A2m",2.263,0.012,2.525,0.011,3.989,0.004,9520,120,"*  "," YZ Cas"
14," YZ Cas",s,11.412833333333332,74.98807222222221,"F2V",1.325,0.007,1.331,0.006,4.312,0.005,6880,240,"*  "," YZ Cas"
71," EY Cep",p,55.01695833333333,81.0191861111111,"F0",1.524,0.008,1.463,0.01,4.291,0.006,7090,150,"*  "," EY Cep"
72," EY Cep",s,55.01695833333333,81.0191861111111,"F0",1.5,0.014,1.468,0.01,4.281,0.007,6970,150,"*  "," EY Cep"
